car_title,year_model,price,odometer,colour,safety_certificate,reg_expiry,link
2010 Volkswagen Golf 77TSI VI Auto MY11,2010,"$10,888","102,197",Candy White,No,Dec-17,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2010/OAG-AD-15424425/?Cr=2
2010 Volkswagen Golf 77TSI VI Auto MY11,2010,"$9,800","56,800",Silver Leaf,Yes,6 Months - May 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2010/SSE-AD-5752935/?gts=SSE-AD-5752935&gtssaleid=SSE-AD-5752935&rankingType=Spotlight
2011 Volkswagen Golf 77TSI VI Auto MY12,2011,"$9,900","64,900",Deep Black,Yes,12 Months - November 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5739321/?Cr=0
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$8,750","167,705",Deep Black,Yes,7 Months - June 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5680583/?Cr=1
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$8,499","150,290",Blue,No,1 Month - December 2018,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16334621/?Cr=3
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$11,990","33,908",Reflex Silver,No,1 Month - December 2018,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16431955/?Cr=4
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$12,990","119,377",Silver,No,8 Months - July 2019,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16343349/?Cr=5
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$12,990","127,248",Silver Leaf,No,4 Months - March 2019,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16477744/?gts=OAG-AD-16477744&gtssaleid=OAG-AD-16477744&rankingType=Showcase
2011 Volkswagen Golf 77TSI VI Auto MY12,2011,"$12,990","43,641",Grey,No,3 Months - February 2019,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16576708/?Cr=12
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$9,959","119,999",Reflex Silver,Yes,5 Months - April 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5416928/?Cr=13
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$8,900","95,000",United Grey,Yes,3 Months - February 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5711274/?Cr=15
2011 Volkswagen Golf 77TSI VI Auto MY12,2011,"$8,450","116,900",White,Yes,2 Months - January 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5664990/?Cr=16
2011 Volkswagen Golf 77TSI VI Auto MY12,2011,"$9,500","97,000",Silver,Yes,5 Months - April 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5645954/?Cr=17
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$9,999","78,386",White,No,3 Months - February 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5729302/?Cr=19
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$9,500","73,991",Carbon Steel Grey,Yes,11 Months - October 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2011/SSE-AD-5339959/?Cr=22
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$9,990","89,726",Silver,No,1 Month - December 2018,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16593112/?Cr=24
2011 Volkswagen Golf 77TSI VI Auto MY11,2011,"$9,900","102,065",Deep Black,No,Expired,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2011/OAG-AD-16267028/?Cr=25
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$12,990","59,100",Reflex Silver,No,Expired,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2012/OAG-AD-16122199/?Cr=6
2012 Volkswagen Golf 77TSI VI Auto MY13,2012,"$10,990","96,634",SILVER,No,Nov-18,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2012/OAG-AD-16523946/?Cr=7
2012 Volkswagen Golf 77TSI VI Auto MY13,2012,"$11,000","73,000",United Grey,Yes,4 Months - March 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5587750/?Cr=8
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$11,000","73,213",Deep Black,No,Oct-18,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2012/OAG-AD-16506706/?Cr=9
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$11,500","180,000",White,Yes,Jul-18,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5325007/?Cr=14
2012 Volkswagen Golf 77TSI VI Auto MY13,2012,"$9,900","94,000",Deep Black,Yes,10 Months - September 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5754533/?Cr=18
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$11,000","76,133",White,Yes,4 Months - March 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5760946/?Cr=20
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$10,995","65,000",Deep Black,No,8 Months - July 2019,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5730087/?Cr=21
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$10,250","121,000",White,No,1 Month - December 2018,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5686064/?Cr=23
,,,,,,,
,,,"13,000",,,,
